Year,Film,Role,Notes
1994,Andaz Apna Apna,Himself,Special appearance
1994,Raja Babu,Raja Babu,
1994,Khuddar,Siddanth Suri,
1994,Dulaara,Raja,
1994,Bhagyawan,Amar,
1994,Beta Ho To Aisa,Raju,
1994,Prem Shakti,Gangwa/Krishna,
1994,Aag,Birju/Raju,
1994,Brahma,Suraj,
1995,Gambler,Dayashankar Pandey,
1995,Rock Dancer,Himself,Guest appearance
1995,Hathkadi,Suraj Chauhan/Rajnikant,Double Role
1995,Andolan,Aniket,
1995,Kismat,Ajay,
1995,Coolie No. 1,Raju,Star Screen Award Special Jury AwardNominated - Filmfare Best Actor Award
