Year,Film,Role,Notes
1991,Kaun Kare Kurbanie,Ajit 'Munna' Singh,
1991,Bhabhi,Amar/Nakadram,
1991,Karz Chukana Hai,Ravi,
1992,Shola Aur Shabnam,Karan,
1992,Baaz,Deva,
1992,Jaan Se Pyaara,Inspector Jai/Sunder,Double Roles
1992,Zulm Ki Hukumat,Pratap Kohli,
1992,Radha Ka Sangam,Govinda,
1993,Aankhen,Vijay (Bunnu) / Gaurishankar,Nominated- Filmfare Award for Best Actor Double Role
1993,Muqabla,Havaldar Suraj,
1993,Zakhmo Ka Hisaab,Suraj Kumar,
1993,Aadmi Khilona Hai,Sharad Verma,
1993,Prateeksha,Raja,
1993,Teri Payal Mere Geet,Premi,
1994,Ekka Raja Rani,Sagar,
