Year,Film,Role,Notes
1998,Dulhe Raja,Raja,Zee Cine Award for Best Actor in a Comic Role
1998,Aunty No. 1,Gopi/Kanaklakshmi,
1998,Maharaja,Kohinoor Karan,
1998,Bade Miyan Chote Miyan,Pyare Mohan/Chhote Miyan,Double Role / Zee Cine Award for Best Actor in a Comic RoleNominated - Filmfare Best Actor AwardSpecial Videocon Screen award from Jury
1998,Pardesi Babu,Raju Pardesi,
1998,Naseeb,Krishna Prasad,
1999,Anari No.1,Rahul Saxena /Raja,Double Role
1999,Rajaji,Rajaji,
1999,Haseena Maan Jaayegi,Monu,Filmfare Best Comedian AwardZee Cine Award for Best Actor in a Comic Role
1999,Hum Tum Pe Marte Hain,Rahul Malhotra,
2000,Jis Desh Mein Ganga Rehta Hain,Ganga,
2000,Shikari,Om Srivastav/Mahendra Pratap Singh,Nominated - Filmfare Best Villain Award
2000,Kunwara,Raju,Nominated -Filmfare Award for Best Performance in a Comic Role
2000,Beti No. 1,Bharat Bhatnagar,
2000,Joru Ka Ghulam,Raja,
