Year,Title,Role,Notes,Extra_Data_1
1991,Let Him Have It,Derek Bentley,,322
1992,Death and the Compass,Alonso Zunz,,682
1993,Anchoress,Priest,,421
1994,Shallow Grave,David,,79
1996,Jude,Jude Fawley,,861
1998,Elizabeth,Duke of Norfolk,,969
1998,A Price Above Rubies,Sender Horowitz,,430
1999,Heart,Gary Ellis,,454
1999,eXistenZ,Seminar leader,,395
1999,With or Without You,Vincent Boyd,,370
2000,Gone in 60 Seconds,Raymond Calitri,,682
2000,The Tyre,Salesman,Short film,862
2001,The Others,Charles Stewart,,252
