Year,Title,Role,Notes
2001,The Invisible Circus,Wolf,
2001,This Little Piggy,Cabbie,Short film
2002,24 Hour Party People,Boethius,
2002,I Am Dina,Leo Zhukovsky,
2002,Revengers Tragedy,Vindici,
2002,28 Days Later,Major Henry West,
2007,The Dark is Rising,The Rider,
2008,"New Orleans, Mon Amour",Dr. Henry,
2009,G.I. Joe: The Rise of Cobra,James McCullen / Destro,
2009,Amelia,Fred Noonan,
2009,The Happiness Salesman,Salesman,Short film
2012,Song for Marion,James Harris,
2013,Thor: The Dark World,Malekith,
