Season,Division One,Division Two,Division Three
2003–04,Chichester City United,Littlehampton Town,Crowborough Athletic
2004–05,Horsham Y M C A,Crowborough Athletic,Storrington
2005–06,Horsham Y M C A,Oakwood,Peacehaven & Telscombe
2006–07,Eastbourne Town,Pagham,Rustington
2007–08,Crowborough Athletic,East Grinstead Town,Loxwood
2008–09,Eastbourne United Association,Peacehaven & Telscombe,Clymping
2009–10,Whitehawk,Rye United,Bosham
2010–11,Crawley Down,A.F.C. Uckfield,Dorking Wanderers
2011–12,Three Bridges,East Preston,Newhaven
2012–13,Peacehaven & Telscombe,Littlehampton Town,Sidlesham
