Season,Division One,Division Two,Division Three,Noise_Field_1,Extra_Data_2
1983–84,Whitehawk,Portfield,East Preston,cHmZOolU,341
1984–85,Steyning Town,Shoreham,Oakwood,RyYSga,18
1985–86,Steyning Town,Wick,Seaford Town,mxcwne,462
1986–87,Arundel,Pagham,Langney Sports,rUgqxkO,494
1987–88,Pagham,Langney Sports,Midway,ZXclrR,377
1988–89,Pagham,Seaford Town,Saltdean United,QEejFlCg,116
1989–90,Wick,Bexhill Town,Worthing United,QnFhQV,535
1990–91,Littlehampton Town,Newhaven,Ifield,CAbYpss,371
1991–92,Peacehaven & Telscombe,Portfield,Hassocks,TVEoiqKK,48
1992–93,Peacehaven & Telscombe,Crowborough Athletic,Withdean,VuGCXqmc,516
