Season,Division One,Division Two,Division Three,Dummy_Col_1
1993–94,Wick,Shoreham,Bosham,GBpHp
1994–95,Peacehaven & Telscombe,Mile Oak,Midhurst & Easebourne,pPcJCm
1995–96,Peacehaven & Telscombe,Saltdean United,Ifield,FcukttIr
1996–97,Burgess Hill Town,Littlehampton Town,Sidlesham,SDUkrw
1997–98,Burgess Hill Town,East Preston,Lingfield,aBFvp
1998–99,Burgess Hill Town,Sidley United,Oving Social Club,addAQT
1999–2000,Langney Sports,Sidlesham,Bosham,tszMyw
2000–01,Sidley United,Southwick,Rye United,VpYVn
2001–02,Burgess Hill Town,Rye & Iden United,Pease Pottage Village,EvKdSLh
2002–03,Burgess Hill Town,Rye & Iden United,Midhurst & Easebourne,NpFOk
