Date,Opponent,Result,Goal Scorers (Season Goals),Goalie Saves,Attendance,Extra_Data_1,Extra_Data_2
Sept. 28,Union,"W, 5-0","Matthews (1)-PP, Keseley (1), Kranz (1), Sanders (1)-PP, Deluce (1)","Vetter, 5",463,748,393
Sept. 29,Union,"W, 11-0","Duggan (1), Keseley (2)-PP, Sanders (2), Sanders (3), Knight (1), Morris (1)-PP, Deluce (2), Knight (2)-PP, Duggan (2), Nash (1), Keseley (3)","McCready, 14",326,292,184
Oct. 5,ROBERT MORRIS,"W, 3-0","Lawler (1), Zaugg (1)-PP, Deluce (3)","Vetter, 11","1,912",588,342
Oct. 6,ROBERT MORRIS,"W, 3-1","Windmeier (1)-PP, Lawler (2), Keseley (4)","Vetter, 13","2,043",85,505
Oct. 13,OHIO STATE* (10/10),"W, 4-0","Deluce (4)-PP, Nash (2), Giles (1), Hagen (1)","Vetter, 12","1,434",797,529
Oct. 14,OHIO STATE* (10/10),"T, 2-2","Zaugg (2)-PP, Deluce (5)-GT","Vetter, 17","1,461",76,593
Oct. 19,St. Cloud State*,"L, 2-1","Sanders (4) St. Cloud, Minn.","Vetter, 17",402,342,837
Oct. 20,St. Cloud State*,"W, 5-0","Deluce (6)-PP, Zaugg (3), Deluce (7), Zaugg (4), Deluce (8)-PP-HT","Vetter, 12",287,729,781
Oct. 26,MINNESOTA STATE*,"W, 4-2","Zaugg (5), Giles (2)-PP, Matthews (2), Knight (3)","Vetter, 12","2,137",654,686
Oct. 27,MINNESOTA STATE*,"W, 4-2","Zaugg (6)-PP, Sanders (5), Knight (4), Jakiel (1)","Vetter, 16","1,538",996,584
Nov. 2,MINNESOTA* (6/7),"W, 3-0","Sanders (6), Sanders (7), Keseley (5)","Vetter, 22",1.389,660,532
Nov. 3,MINNESOTA* (6/7),"L, 3-2","Duggan (3)-PP, Lawler (3)-PP","Vetter, 15","2,404",363,520
