Season,Winner,Team,Position,Age,Noise_Field_1,Dummy_Col_2,Dummy_Col_3
1973–74,Denis Potvin,New York Islanders,D,19,cRKZjcot,PrTknPk,WzXqA
1974–75,Eric Vail,Atlanta Flames,LW,20,fEwmxT,xArwT,kPyLlv
1975–76,Bryan Trottier,New York Islanders,C,19,pnaty,ypdTl,eodSODA
1976–77,Willi Plett,Atlanta Flames,RW,21,DODtmTbc,chMQTo,HrOfEcAm
1977–78,Mike Bossy,New York Islanders,RW,20,smIWH,deXdPmPI,qGYttuBC
1978–79,Bobby Smith,Minnesota North Stars,C,20,vJxKK,UaLhRGG,WOJcI
1979–80,Ray Bourque,Boston Bruins,D,19,DJWGCtM,FGutkPyZ,mdkXY
1980–81,Peter Stastny,Quebec Nordiques,C,24,ddGRIWr,QVARn,XwPANT
1981–82,Dale Hawerchuk,Winnipeg Jets,C,18,srftdy,jHCqUVW,tMpOtI
1982–83,Steve Larmer,Chicago Black Hawks,RW,21,BhuqRv,LKvktRNJ,HLSYX
