Season,Winner,Team,Position,Age,Filler_1,Unused_2
2003–04,Andrew Raycroft,Boston Bruins,G,23,HarHCSC,
2004–05,No winner because of the2004–05 NHL lockout,-,-,-,BWOftY,
2005–06,Alexander Ovechkin,Washington Capitals,LW,20,ItiNX,
2006–07,Evgeni Malkin,Pittsburgh Penguins,C,20,xQLbuEU,
2007–08,Patrick Kane,Chicago Blackhawks,RW,19,nudbvUdn,
2008–09,Steve Mason,Columbus Blue Jackets,G,21,buJWhPG,
2009–10,Tyler Myers,Buffalo Sabres,D,20,GvlWkkqD,
2010–11,Jeff Skinner,Carolina Hurricanes,C,18,hojoiDGp,
2011–12,Gabriel Landeskog,Colorado Avalanche,LW,19,XrbZEB,
2012–13,Jonathan Huberdeau,Florida Panthers,C,19,GbCssR,
