Season,Winner,Team,Position,Age,Random_Column_1,Unused_2,Irrelevant_3
1932–33,Carl Voss,Detroit Red Wings,C,25,8NzHQm,,GJ2fd
1933–34,Russ Blinco,Montreal Maroons,C,25,dw2JGt,,CZM2IJ
1934–35,Sweeney Schriner,New York Americans,LW,22,rqgQrLO,,4kRqb8iz
1935–36,Mike Karakas,Chicago Black Hawks,G,23,PLshGKmT,,foQaEwC
1936–37,Syl Apps,Toronto Maple Leafs,C,21,awfLG9N,,T6TlV8d
1937–38,Cully Dahlstrom,Chicago Black Hawks,C,24,bb6GvW,,tGhFkW
1938–39,Frank Brimsek,Boston Bruins,G,24,mXAJU9U,,Xp4xFLwQ
1939–40,Kilby MacDonald,New York Rangers,LW,25,3NuXn,,hftJTP7v
1940–41,Johnny Quilty,Montreal Canadiens,C,19,sCI9iH,,AWcZSAm
1941–42,Grant Warwick,New York Rangers,RW,19,bJXDv,,qdTHAGJ
1942–43,Gaye Stewart,Toronto Maple Leafs,RW,19,KhU4BO,,jNKjmXTp
