Township,FIPS,Populationcenter,Population,Populationdensity/km² (/sq mi),Land areakm² (sq mi),Water areakm² (sq mi),Water %,Geographic coordinates
Ash Creek,02575,,58,1 (2),93 (36),0 (0),0.51%,38°39′17″N 98°12′47″W﻿ / ﻿38.65472°N 98.21306°W
Black Wolf,07025,,87,1 (2),94 (36),0 (0),0.10%,38°44′40″N 98°19′33″W﻿ / ﻿38.74444°N 98.32583°W
Carneiro,10800,,57,1 (2),93 (36),0 (0),0.36%,38°45′2″N 97°59′46″W﻿ / ﻿38.75056°N 97.99611°W
Clear Creek,13725,,91,1 (3),94 (36),0 (0),0.17%,38°44′10″N 98°6′16″W﻿ / ﻿38.73611°N 98.10444°W
Columbia,15025,,60,1 (2),94 (36),0 (0),0.04%,38°50′5″N 98°18′50″W﻿ / ﻿38.83472°N 98.31389°W
Ellsworth,20525,,797,9 (23),88 (34),0 (0),0.23%,38°43′6″N 98°10′58″W﻿ / ﻿38.71833°N 98.18278°W
Empire,21150,,174,1 (3),171 (66),14 (6),7.79%,38°39′6″N 98°1′7″W﻿ / ﻿38.65167°N 98.01861°W
Garfield,25575,,27,0 (1),92 (36),0 (0),0.30%,38°50′9″N 98°6′42″W﻿ / ﻿38.83583°N 98.11167°W
Green Garden,28600,Lorraine,211,2 (6),94 (36),0 (0),0.22%,38°33′30″N 98°19′19″W﻿ / ﻿38.55833°N 98.32194°W
Langley,38600,,76,1 (2),92 (35),2 (1),1.86%,38°35′33″N 97°58′15″W﻿ / ﻿38.59250°N 97.97083°W
