#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Dummy_Col_1
120,August 18,White Sox,7 - 5,Weaver (5-10),Danks (6-11),Putz (36),"41,121",68-52,KGtoIn
121,August 19,White Sox,11 - 5,Hernández (9-6),Garland (8-9),,"45,668",69-52,BILevdgk
122,August 20,@ Twins,9 - 4,Ramírez (8-4),Garza (2-4),,"31,755",70-52,pmHgVuMV
123,August 21,@ Twins,7 - 2,Washburn (9-10),Baker (6-6),,"42,373",71-52,LWwojZF
124,August 22,@ Twins,8 - 4,Silva (10-12),Batista (13-9),,"29,881",71-53,EawkjCVE
125,August 23,@ Rangers,9 - 4,Weaver (6-10),Loe (6-10),,"26,963",72-53,kxWQIbB
126,August 24,@ Rangers,4 - 2,Hernández (10-6),Millwood (8-11),Putz (37),"32,716",73-53,lsGlneH
127,August 25,@ Rangers,5 - 3,Benoit (7-3),White (1-1),Wilson (8),"47,977",73-54,jtaWke
128,August 26,@ Rangers,5 - 3,Padilla (4-9),Washburn (9-11),,"25,437",73-55,NAXmsi
129,August 27,Angels,6 - 0,Lackey (16-8),Batista (13-10),,"45,998",73-56,JbVgcEfk
130,August 28,Angels,10 - 6,Speier (2-3),Morrow (3-3),,"44,395",73-57,pYkxO
131,August 29,Angels,8 - 2,Weaver (10-6),Hernández (10-7),,"46,047",73-58,qZwvf
132,August 30,@ Indians,6 - 5,Borowski (3-5),O'Flaherty (7-1),,"25,949",73-59,jvJzJ
133,August 31,@ Blue Jays,7 - 5,Marcum (12-5),Washburn (9-12),Accardo (26),"34,518",73-60,ueOWl
