Event,Record,Athlete,Date,Meet,Place,Filler_1
10000 m,35:23.0 (ht),Muriaroa Ngaro,30 August 1979,South Pacific Games,"Suva, Fiji",PosglZJW
Half marathon,1:27:04,Olfred Maiteao,11 October 1983,,"Rarotonga, Cook Islands",tWEEZ
Marathon,2:51:26,Muriaroa Ngaro,3 May 1980,,"Avarua, Cook Islands",lNdYafLC
110 m hurdles,16.44,Akanoa William,15 December 1987,South Pacific Games,"Nouméa, New Caledonia",tBBHF
400 m hurdles,1:30.07,Casper Mateariki,25 October 2004,,"Rarotonga, Cook Islands",ASrHYZak
3000 m steeplechase,10:51:71,Uaongo Areai,3 August 1985,South Pacific Mini Games,"Avarua, Cook Islands",ErDWgHV
High jump,1.89 m,Turuariki George Baxter,25 September 2009,Pacific Mini Games,"Nikao, Cook Islands",psTezrIF
Pole vault,3.10 m,Akanoa William,18 December 1987,South Pacific Games,"Nouméa, New Caledonia",iVukJPLy
Long jump,7.16 m,Harmon Harmon,2 June 2003,,"Tereora, Cook Islands",DBasnkLh
Triple jump,13.63 m,Harmon Harmon,16 October 2001,,"Tereora, Cook Islands",BzJYYmr
Shot put,13.85 m,Mau George,25 September 2009,Pacific Mini Games,"Nikao, Cook Islands",xSslX
