Draw,Country,Language,Artist,Song,English translation,National final,Place,Points
12,Serbia,Serbian,Beauty Queens,"\Zavet\""""",A pledge,3rd,9,68
13,Croatia,Croatian,Emilija Kokić,"\Andjeo\""""",Angel,6th,15,31
14,Lithuania,English,Aiste Pilvelyte,"\Troy on Fire\""""",–,2nd,17,26
15,Ireland,English,Leona Daly,"\Not Crazy After All\""""",–,Unplaced,12,56
16,United Kingdom,English,The Revelations,"\It's You\""""",–,3rd,16,29
17,Portugal,Portuguese,Lisboa Não Sejas Francesa,"\Porto de encontro\""""",Meeting harbour,9th,20,6
18,Sweden,English,Sanna Nielsen,"\Empty Room\""""",–,2nd,1,269
19,Norway,English,Veronica Akselsen,"\Am I Supposed To Love Again\""""",–,4th,5,139
20,Slovenia,Slovene,Brigita Šuler,"\Samara\""""",–,3rd,11,57
21,Spain,Spanish,Coral,"\Todo está en tu mente\""""",Everything is in your mind,2nd,2,178
