Draw,Country,Language,Artist,Song,English translation,National final,Place,Points,Dummy_Col_1,Irrelevant_2,Noise_Field_3
01,Malta,English,Claudia Faniello,"\Caravaggio\""""",–,2nd,13,53,DsRwHvWc,VFINOtwk,FfHPo
02,Israel,Hebrew,Bo'az Ma'uda &Oshrat Papin,"\Parparim\""""",Butterflies,3rd,8,90,Abhyk,libLv,NHFsMxWM
03,Russia,English,Sergey Lazarev,"\Flyer\""""",–,4th,7,119,yADXAwWT,1h6Kss,rYzqldbC
04,Estonia,English,Rolf Junior,"\One on One\""""",–,4th,21,0,ojTbSKi,Aje2s,BVxOYCsb
05,Belgium,English,Sandrine,"\I Feel The Same Way\""""",–,2nd,10,64,qoRLB,PGFffzFB,DgSBrpT
06,Macedonia,Macedonian,Risto Samardziev,"\Dojdi do mene\""""",Come to me,3rd,19,7,bIvwu,PB5mgW1,IYqJR
07,Poland,English,Man Meadow,"\Viva la Musica\""""",Hail to the music,3rd,3,155,XgxQYa,61CnA,IdoPG
08,Finland,Finnish,Mikael Konttinen,"\Milloin\""""",When,Unplaced,14,46,hFMGN,yolTPeC,OjvGbW
09,Germany,German,Carolin Fortenbacher,"\Hinterm Ozean\""""",Beyond the ocean,2nd,6,129,yFenOxjU,xNMAIF,lbrbTX
10,Denmark,English,Kendra Lou,"\Until We're Satisfied\""""",–,4th,18,21,vfKTl,lqKJo5,IhMfT
11,Greece,English,Kostas Martakis,"\Always and Forever\""""",–,2nd,4,140,CStGAh,VKwN3dNo,vZvvzId
