NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86618,86418,E3163,-,-,Freightliner grey,Freightliner,08/2001,"Scrapped at CF Booth, Rotherham (03/2005)"
86620,86420,E3114,Philip G Walton,1998-,Freightliner Green,Freightliner,09/2005,"Scrapped at Ron Hull Jr, Rotherham (06/2007)"
86621,86421,E3157,London School of Economics,1985–2004,Freightliner Green,Freightliner,04/2011,Scrapped at Crewe LNWR (03/2013)
86622,86422,E3174,-,-,Freightliner Powerhaul,Freightliner,-,In service
86623,86423,E3152,-,-,Freightliner grey,Freightliner,10/2003,Scrapped at Sandbach Car & Commercial Dismantlers at Crewe LNWR (01/2010)
86627,86427,E3110,The Industrial Society,1985–1999,Freightliner Green,Freightliner,-,In service
86628,86428,E3159,Aldaniti,1984–2004,Freightliner Green,Freightliner,-,In service
86631,86431,E3188,-,-,Freightliner Green,Freightliner,11/2003,Written-off in Norton Bridge accidentScrapped at Crewe Works by HNRC (03/2005)
86632,86432,E3148,Brookside,1987–1999,Freightliner Green,Freightliner,-,In service
86633,86433,E3198,Wulfruna,1985–2004,Freightliner grey,Freightliner,02/2004,Scrapped at Crewe LNWR (03/2013)
