NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86245,-,E3182,Dudley CastleCaledonian,1984–19981998–2003,Virgin Red/Black,Virgin West Coast,10/2003,Scrapped at EMR Kingsbury (06/2010)
86246,86505,E3149,Royal Anglian Regiment,1985-,Anglia Railways,'one',12/2004,Stored at Long Marston
86247,-,E3192,Abraham Darby,1981–2003,Europhenix,Europhenix,10/2003,Stored at Crewe LNWR. Europhoenix demonstrator.
86248,-,E3107,County of Clwyd / Sir Clwyd,1981–2003,Virgin Red/Black,Virgin Cross-Country,10/2002,Exported Hungary. (2/2009) Export Number 0450 001-7. Operated Floyd ZRt.
86249,-,E3161,County of Merseyside,1981–2005,InterCity,Virgin Cross-Country,10/2003,Scrapped at MoD Caerwent (10/2005)
86250,-,E3189,The Glasgow HeraldSheppard 100,1980–19982003–2004,Anglia Railways,FM Rail,04/2004,Exported Hungary. (5/2009) Export Number 0450 002-5. Operated Floyd ZRt.
86251,-,E3183,The Birmingham Post,1984–2002,Virgin Red/Black,FM Rail,10/2002,Stored at Long Marston
86252,-,E3101,The Liverpool Daily PostSheppard 100,1980–20002000–2002,Anglia Railways,Anglia Railways,05/2002,Scrapped at Immingham RFT (08/2002)
86253,86044,E3136,The Manchester Guardian,1980–2004,InterCity,Virgin Cross-Country,10/2002,Converted to 86901 (11/2004)
86254,86047,E3142,William Webb Ellis,1980–1996,Rail Express Systems,EWS,10/2002,"Scrapped at CF Booth, Rotherham (08/2004)"
86255,86042,E3154,Penrith Beacon,1981–1999,InterCity,Virgin Cross-Country,08/1998,Scrapped at Immingham RFT (09/2002)
