NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86424,86324,E3111,-,-,NR Yellow,Network Rail,12/2002,Exported Hungary. (08/2013) Export Number 0450 009. Floyd ZRt as a spares donor.
86425,86325,E3186,Saint Mungo,1995–2003,Rail Express Systems,EWS,02/2002,"Scrapped at CF Booth, Rotherham (01/2005)"
86426,86326,E3195,Pride of the Nation,1998–2002,Freightliner Green,EWS,06/2004,"Scrapped at CF Booth, Rotherham (11/2005)"
86429,86329,E3200,The Times,1982–1986,InterCity,British Rail,11/1986,Written-off in Colwich accidentScrapped at Crewe Works (11/1986)
86430,86030,E3105,Scottish National OrchestraSaint Edmund,1987–19911996–2002,Freightliner Green,EWS,06/2004,"Scrapped at CF Booth, Rotherham (12/2005)"
86501,86608,E3180,Crewe Basford Hall,2000–2000,Freightliner Green,Freightliner,-,In service
86602,86402,E3170,-,-,Freightliner Green,Freightliner,03/2005,Scrapped at Sandbach Car & Commercial Dismantlers at Crewe LNWR (01/2010)
86603,86403,E3115,-,-,Revised RailfreightDistribution,Freightliner,09/1999,"Scrapped at CF Booth, Rotherham (11/2005)"
86604,86404,E3103,-,-,Freightliner Green,Freightliner,-,In service
86605,86405,E3185,Intercontainer,1992–1996,Freightliner Green,Freightliner,-,In service
