NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86223,-,E3158,HectorNorwich Union,1979–19871987–2004,Anglia Railways,FM Rail,04/2004,Scrapped at EMR Kingsbury 04/2011
86224,-,E3134,Caledonian,1979–1988,InterCity,Virgin Cross-Country,07/2002,Scrapped at Rotherham (05/2006)
86225,-,E3164,Hardwicke,1980–2003,Virgin Red/Black,Virgin Cross-Country,07/2002,Scrapped at Rotherham (04/2006)
86226,-,E3162,MailRoyal Mail MidlandsCharles Rennie Mackintosh,1979–19841984–19961996–2002,Virgin Red/Black,Virgin Cross-Country,07/2002,Scrapped at EMR Kingsbury 04/2011
86227,-,E3117,Sir Henry JohnsonGolden Jubilee,1981–20022002–2004,Anglia Railways(with Union Flag),'one',10/2004,Scrapped at Rotherham (07/2005)
86228,-,E3167,Vulcan Heritage,1980-,InterCity,Virgin West Coast,10/2003,Exported Hungary. (07/2013) Export number: 0450 007. Operating Floyd ZRt.
86229,-,E3119,Sir John BetjemanLions Club International,1983–19981998–2003,Virgin Red/Black,FM Rail,10/2003,Stored at Long Marston
86230,-,E3168,The Duke of Wellington,1981–1997,Anglia Railways,'one',10/2004,Scrapped at EMR Kingsbury 05/2011
86231,-,E3126,Starlight Express,1984–2002,Virgin Red/Black,FM Rail,07/2002,Stored at Long Marston
86232,-,E3113,Harold MacmillanNorfolk and Norwich FestivalNorfolk and Norwich Festival,1979–19901990–19952001–2005,Anglia Railways,'one',07/2005,Exported Hungary. (04/2010) Export Number 0450 003-3. Operated Floyd ZRt.
86233,86506,E3172,Laurence OlivierAlstom Heritage,1980–20022002–2003,BR Electric Blue,Swift Rail Ltd,11/2007,Exported Bulgaria. (11/2012) Bulmarket as a spares donor.
