NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86256,86040,E3135,Pebble Mill,1981–2003,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Rotherham (03/2006)
86257,86043,E3139,Snowdon,1981–1999,Anglia Railways,Anglia Railways,11/2002,Scrapped at Immingham RFT (11/2003)
86258,86046,E3192,Talyllyn - The FirstPreserved RailwayTalyllyn 50 Years of RailwayPreservation 1951-2001,1984–20012001-2002,Virgin Red/Black,Virgin Cross-Country,07/2002,Conversion to battery-electric locomotive cancelled. Scrapped at EMR Kingsbury (12/2009)
86259,86045,E3137,Peter PanGreater ManchesterThe Life & Soul Of BritainLes Ross,1979–19951995-20022002-2003,BR Electric Blue,Peter Pan Locomotive Ltd (Les Ross),10/2003,Preserved operational at Willesden TMD
86260,86048,E3144,Driver Wallace Oakes GC,1981–2003,Anglia Railways,'one',05/2004,Converted to 86702 (08/2009)
86261,86041,E3118,Driver John Axon GCThe Rail Charter Partnership,1981–19921997–2004,EWS Red/Gold,EWS,11/2002,"Scrapped at CF Booth, Rotherham (12/2004)"
86401,86001,E3199,Northampton TownHertfordshire Rail ToursNorthampton Town,1989–19911998–20022005–present,Network SouthEast,AC Locomotive Group,12/2002,Stored at Willesden TMD.
86416,86316,E3109,Wigan Pier,1984–1992,Rail Express Systems,EWS,02/2002,"Scrapped at CF Booth, Rotherham (07/2005)"
86417,86317,E3146,The Kingsman,1985–1993,Rail Express Systems,EWS,09/2001,"Scrapped at CF Booth, Rotherham (11/2004)"
86419,86319,E3120,Post Haste 150 Years ofthe Travelling Post Office,1990–1993,Rail Express Systems,EWS,03/1999,Scrapped at Crewe Electric TMD (03/2003)
