NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86606,86406,E3112,-,-,Freightliner grey,Freightliner,11/2003,"Scrapped at Ron Hull Jr, Rotherham (06/2007)"
86607,86407,E3176,The Institution ofElectrical Engineers,1987–2000,Freightliner Green,Freightliner,-,In service
86608,86408,E3180,St. John Ambulance,1987–1999,Freightliner Green,Freightliner,05/2000,Converted to 86501 (05/2000)
86609,86409,E3102,-,-,Freightliner Green,Freightliner,-,In service
86610,86410,E3104,-,-,Freightliner Green,Freightliner,-,In service
86611,86411,E3171,Airey Neave,1983–2003,Freightliner grey,Freightliner,11/2003,Written-off in Norton Bridge accidentScrapped at Crewe Works by HNRC (02/2005)
86612,86412,E3122,Elizabeth Garrett Anderson,1983–2004,Freightliner Green,Freightliner,-,In service
86613,86413,E3128,County of Lancashire,1985–1999,Freightliner Green,Freightliner,-,In service
86614,86414,E3145,Frank Hornby,1986–2001,Freightliner Green,Freightliner,-,In service
86615,86415,E3123,Rotary International,1984–2005,Freightliner Green,Freightliner,04/2005,"Scrapped at Ron Hull Jr, Rotherham (07/2007)"
