NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86212,-,E3151,Preston GuildPreston Guild 1328-1992,1979–19921992–2003,Virgin Red/Black,FM Rail,10/2003,Scrapped at EMR Kingsbury 02/2011
86213,-,E3193,Lancashire Witch,1981-,InterCity,AC Locomotive Group,09/1998,Stored at Barrow Hill Engine Shed.
86214,-,E3106,Sans Pareil,1980–2002,InterCity,Virgin Cross-Country,10/2002,Scrapped at Rotherham (03/2006)
86215,-,E3165,Joseph ChamberlainNorwich CathedralNorfolk and Norwich FestivalThe Round Tabler,1981–19961996–19971998–19992003–2004,Anglia Railways,'one',10/2004,Exported Hungary. (05/2012) Export Number 0450 005-8. Operated Floyd ZRt.
86216,-,E3166,Meteor,1978–2002,InterCity,Virgin West Coast,04/1998,Scrapped at Immingham RFT (03/2003)
86217,86504,E3177,CometHalley's CometCity University,1980–19851985–19941994–2004,Anglia Railways,FM Rail,04/2004,Exported Hungary. (02/2013) Export Number 0450 006. Operated Floyd ZRt.
86218,-,E3175,PlanetHarold MacmillanYear of Opera andMusical Theatre 1997NHS 50,1979–19931993–19971997–19981998-,Anglia Railways,'one',09/2004,Exported Hungary. (02/2011) Export Number 0450 004-1. Operated Floyd ZRt.
86219,-,E3196,Phoenix,1978–2002,InterCity,Virgin West Coast,05/1996,Scrapped at Immingham RFT (05/2002)
86220,-,E3156,GoliathThe Round Tabler,1979–19871987–2002,Anglia Railways,Anglia Railways,05/2002,Scrapped at Immingham RFT (11/2003)
86221,-,E3132,VestaBBC Look East,1979–19871987–2003,Anglia Railways,Anglia Railways,05/2003,Scrapped at Immingham RFT (11/2003)
86222,86502,E3131,FuryLloyd's ListLloyd's List 250th AnniversaryClothes Show Live,1979–19871987–19891989–19941994–2002,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Immingham RFT (12/2003)
