NumbersTOPS,NumbersTOPS,NumbersPre-TOPS,Name(s),Dates,Final Livery,Operator,Withdrawn,Status
86101,86201,E3191,Sir William A Stanier FRS,1978–20052006-,British Rail Blue,AC Locomotive Group,-,Stored at Willesden TMD
86102,86202,E3150,Robert A Riddles,1981–2002,InterCity,Freightliner,04/2002,Scrapped at MoD Caerwent (04/2005)
86103,86203,E3143,André Chapelon,1981–1995,InterCity,Virgin Cross-Country,05/1995,Scrapped at Immingham RFT (11/2002)
86204,-,E3173,City of Carlisle,1978–1998,InterCity,Virgin Cross-Country,08/1998,Scrapped at Immingham RFT (07/2003)
86205,86503,E3129,City of Lancaster,1979–2003,Virgin Red/Black,Virgin West Coast,10/2003,Converted to 86701 (08/2009)
86206,-,E3184,City of Stoke on Trent,1978–2002,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Cardiff (02/2004)
86207,-,E3179,City of Lichfield,1981–2002,InterCity,Virgin Cross-Country,07/2002,Scrapped at Rotherham (04/2006)
86208,-,E3141,City of Chester,1979–2000,InterCity,EWS,03/2002,Scrapped at Crewe Electric TMD (07/2003)
86209,-,E3125,City of Coventry,1979–2004,Anglia Railways,'one',10/2004,"Scrapped at Boreham, Essex (07/2005)"
86210,-,E3179,City of EdinburghC.I.T. 75th Anniversary,1981–19951995–2003,Rail Express Systems,EWS,12/2002,Converted to 86902 (12/2004)
86211,-,E3147,City of Milton Keynes,1982–1986,InterCity,British Rail,11/1986,Written-off in Colwich accidentScrapped at Crewe Works (09/1987)
