Sport,Gold,Silver,Bronze,Total,Random_Column_1,Random_Column_2,Irrelevant_3
Fencing,3,1,9,13,415UhUl2,tLWaNi,VwFxslm
Petanque,3,1,2,6,qHpmso,kfWCI8j,Iyn02eR
Cycling,2,8,4,14,j4zIyl,bk8UT3z,zZXlFl
Paragliding,3,1,2,6,QXbE9ei,cQhfx4g,0IWjMwW
Fin Swimming,2,3,7,12,vPcCmyn,aVTsQW,7n0KY
Tennis,2,3,4,9,jEtLZ,TTTF7,WvT0Y
Golf,2,3,0,5,T3JUL9C,mGKFTE,JoipV
Water Ski,2,2,1,5,O7c0TNCD,NigNgkAc,L8SuIAMh
Ekuestrian,2,2,1,5,ooQak8S,G8Ybs,uq9y4
Bridge,2,1,2,5,bvLAPWr,tsBM3,S6Ki5rNm
Billiard & Snooker,2,1,1,4,cIVFg,Gz1P2l,JDF9CSD
Futsal,2,0,0,2,gK0Xa,ezUxKpZ,eRI2D
