Year,Date,Winner,Make,Pole,Make,Results
2003,October 5,Bobby Parsley,Chevrolet,Dave Jackson,Chevrolet,Report
2004,not held,,,,,
2005,not held,,,,,
2006,October 15,Scott Hantz,Chevrolet,Danny Jackson,,Report
2007,October 14,Ryan Lawler,Ford,Ryan Lawler,Ford,Report
2008,October 12,David Stremme,Dodge,Chris Gabehart,,Report
2009,October 18,Kyle Busch,Toyota,Chris Gabehart,,Report
2010,October 17,Chase Elliott,Ford,Johnny VanDoorn,,Report
2011,October 15,Boris Jurkovic,Toyota,Derrick Griffin,Toyota,Report
2012,October 14,Ross Kenseth,Ford,Rick Turner,Ford,Report
2013,October 13,Erik Jones,Toyota,Chase Elliott,Chevrolet,Report
