Year,Date,Winner,Make,Pole,Make,Results,Unused_1,Filler_2
1981,October 4,Mike Eddy,Chevrolet,Mark Martin,Chevrolet,Report,,NgIMMX
1982,October 3,Rusty Wallace,Chevrolet,Bob Strait,Pontiac,Report,,godJUWp
1983,October 2,Mike Eddy,Pontiac,Dick Trickle,Pontiac,Report,,ZDIufAcV
1984,September 30,Bob Senneker,Pontiac,Dick Trickle,Pontiac,Report,,QnNzu
1985,September 29,Mark Martin,Ford,Mark Martin,Ford,Report,,MDvnY
1986,October 5,Mark Martin,Ford,Mark Martin,Pontiac,Report,,nDYcyckR
1987,October 4,Butch Miller,Chevrolet,Butch Miller,Chevrolet,Report,,bZTkx
1988,October 2,Ted Musgrave,Chevrolet,Butch Miller,Chevrolet,Report,,qmQCxc
1989,October 1,Butch Miller,Chevrolet,Kenny Wallace,Pontiac,Report,,UjnTGUl
1990,September 30,Bob Senneker,Chevrolet,Dave Jackson,Chevrolet,Report,,qcvtQvx
1991,October 6,"Glenn Allen, Jr.",Chevrolet,Mike Eddy,Pontiac,Report,,uRQWAnHJ
