Member,Party,Electorate,State,First elected
Hon Percy Clarey,ALP,Bendigo,Vic,1949
Joe Clark,ALP,Darling,NSW,1934
Jim Cope,ALP,Cook,NSW,1955
Dominic Costa,ALP,Banks,NSW,1949
Wilfred Coutts,ALP,Griffith,Qld,1954
John Cramer,Liberal,Bennelong,NSW,1949
Jack Cremean,ALP/ALP (A-C),Hoddle,Vic,1949
Frank Crean,ALP,Melbourne Ports,Vic,1951
Dan Curtin,ALP,Watson,NSW,1949
Fred Daly,ALP,Grayndler,NSW,1943
Charles Davidson,Country,Dawson,Qld,1946
Billy Davies,ALP,Cunningham,NSW,1949
Frank Davis,Liberal,Deakin,Vic,1949
