Member,Party,Electorate,State,First elected
Hon Wilfrid Kent Hughes,Liberal,Chisholm,Vic,1949
Stan Keon,ALP/ALP (A-C),Yarra,Vic,1949
William Lawrence,Liberal,Wimmera,Vic,1949
Hon George Lawson,ALP,Brisbane,Qld,1931
Nelson Lemmon,ALP,St George,NSW,"1943–49, 1954"
Hugh Leslie,Liberal,Moore,Country,1949
Robert Lindsay,Liberal,Flinders,Vic,1954
Tony Luchetti,ALP,Macquarie,NSW,1951
Aubrey Luck,Liberal,Darwin,Tas,1951
Philip Lucock,Country,Lyne,NSW,1953
Dan Mackinnon,Liberal,Corangamite,Vic,"1949–51, 1953"
Hon Norman Makin,ALP,Sturt,SA,"1919–46, 1954"
