Member,Party,Electorate,State,First elected,Dummy_Col_1,Unused_2,Filler_3
Jim Harrison,ALP,Blaxland,NSW,1949,agaQgLXK,,alqWF
Hon Paul Hasluck,Liberal,Curtin,WA,1949,KfBBHiGc,,kcEXGc
Hon William Haworth,Liberal,Isaacs,Vic,1949,Bazxts,,KlxLnsu
Leslie Haylen,ALP,Parkes,NSW,1943,AeMXPojC,,EWnTGkW
Rt Hon Harold Holt,Liberal,Higgins,Vic,1935,FrmhBUS,,TpVMgmcY
John Howse,Liberal,Calare,NSW,1946,osQGVKX,,czHCBJmm
Alan Hulme,Liberal,Petrie,Qld,1949,lEQKzCP,,pWigt
William Jack,Liberal,North Sydney,NSW,1949,MvYiS,,wCnmW
Rowley James,ALP,Hunter,NSW,1928,rtTYzDNF,,IMpsclHs
Hon Herbert Johnson,ALP,Kalgoorlie,WA,1940,DvTJP,,NpElgSoL
Bob Joshua,ALP/ALP (A-C),Ballaarat,ALP,1951,BNzinKeX,,OCohob
Percy Joske,Liberal,Balaclava,Vic,1951,ecUxP,,WNrtSKF
