Member,Party,Electorate,State,First elected,Random_Column_1,Noise_Field_2,Extra_Data_3
Roger Dean,Liberal,Robertson,NSW,1949,LOluZJ,NrWaZtin,512
Alec Downer,Liberal,Angas,SA,1949,6acdcT,FawnPlKA,178
Hon Arthur Drakeford,ALP,Maribyrnong,Vic,1934,7WQtJL,GcBZB,951
Hon David Drummond,Country,New England,NSW,1949,7FiWo,POFxaMQL,18
Nigel Drury,Liberal,Ryan,Qld,1949,5c6LPGno,VSiZJoK,183
Gil Duthie,ALP,Wilmot,Tas,1946,XhUZUmqy,NoPDhg,769
Bill Edmonds,ALP,Herbert,Qld,1946,paTpBReV,tScvcxWO,769
Rt Hon Dr H.V. Evatt,ALP,Barton,NSW,1940,XkJHsd5M,ksjBu,97
Rt Hon Arthur Fadden,Country,McPherson,Qld,1949,aM0a1Uo,LkLcBvNT,252
Laurie Failes,Country,Lawson,NSW,1949,xO2Qru5O,pfIDrz,755
David Fairbairn,Liberal,Farrer,NSW,1949,Jf9fd,vXjBzo,964
Hon Allen Fairhall,Liberal,Paterson,NSW,1949,e1K5Kl,XHBWHBr,798
Bill Falkinder,Liberal,Franklin,Tas,1946,aJbGjqk,nuWruB,960
