Member,Party,Electorate,State,First elected
George Bowden,Country,Gippsland,Vic,1943
William Brand,Country,Wide Bay,Qld,1954
Wilfred Brimblecombe,Country,Maranoa,Qld,1951
Geoffrey Brown,Liberal,McMillan,Vic,1949
Hon Harry Bruce,ALP,Leichhardt,Qld,1951
Tom Burke,ALP,Perth,WA,1943
Bill Bryson,ALP/ALP (A-C),Wills,Vic,"1943–1946, 1949"
Hon Arthur Calwell,ALP,Melbourne,Vic,1940
Hon Archie Cameron,Liberal,Barker,SA,1934
Clyde Cameron,ALP,Hindmarsh,SA,1949
Dr Donald Cameron,Liberal,Oxley,Qld,1949
Rt Hon Richard Casey,Liberal,La Trobe,Vic,"1931–40, 1949"
Hon Cyril Chambers,ALP,Adelaide,SA,1943
