Member,Party,Electorate,State,First elected,Random_Column_1,Filler_2
Joe Fitzgerald,ALP,Phillip,NSW,1949,8ifmCR,nbUBuR
Hon Josiah Francis,Liberal,Moreton,Qld,1922,h7SAyRl,haspjhW
Allan Fraser,ALP,Eden-Monaro,NSW,1943,nFOlcr5,oAXNY
Jim Fraser,ALP,Australian Capital Territory,ACT,1951,zESGiD,KHXnj
Gordon Freeth,Liberal,Forrest,WA,1949,xwAtOHn,ewqFzQ
Arthur Fuller,Country,Hume,NSW,"1943–49, 1951",q1mLs1,KvQCjJg
Pat Galvin,ALP,Kingston,SA,1951,G130Xj,JrRkAwOS
Arthur Greenup,ALP,Dalley,NSW,1953,17PSq,yPQJITId
Charles Griffiths,ALP,Shortland,NSW,1949,ysoPb6p,cQXVMlj
Jo Gullett,Liberal,Henty,Vic,1946,2y5MEYK,ISPeA
Len Hamilton,Country,Canning,WA,1946,QESN5W,TMvWxb
Rt Hon Eric Harrison,Liberal,Wentworth,NSW,1931,dOdWtRcB,PUBEr
