Member,Party,Electorate,State,First elected
Charles Adermann,Country,Fisher,Qld,1943
Ian Allan,Country,Gwydir,NSW,1953
Gordon Anderson,ALP,Kingsford Smith,NSW,1949
Tom Andrews,ALP/ALP (A-C),Darebin,Vic,1949
Hon Larry Anthony,Country,Richmond,NSW,1937
Lance Barnard,ALP,Bass,Tas,1954
Jeff Bate,Liberal,Macarthur,NSW,1949
Hon Howard Beale,Liberal,Parramatta,NSW,1946
Kim Beazley,ALP,Fremantle,WA,1945
Alan Bird,ALP,Batman,Vic,1949
Francis Bland,Liberal,Warringah,NSW,1951
William Bostock,Liberal,Indi,Vic,1949
Bill Bourke,ALP/ALP (A-C),Fawkner,Vic,1949
