Member,Party,Electorate,State,First elected,Dummy_Col_1,Noise_Field_2,Filler_3
Hon Philip McBride,Liberal,Wakefield,SA,"1931–37, 1937–43 (S), 1946",hduLHxJ,TNyVuQUT,wTLKO
Malcolm McColm,Liberal,Bowman,Qld,1949,XtUmvBx,KCUDbXE,cZozTlz
Rt Hon John McEwen,Country,Murray,Vic,1934,FQairqe,WzxcL,gXGlBP
John McLeay,Liberal,Boothby,SA,1949,DeuYw,JlqFS,gsiNZn
Don McLeod,Liberal,Wannon,ALP,"1940–49, 1951",gDjigg,vWWHmpR,KZDMO
Hon William McMahon,Liberal,Lowe,NSW,1949,PtqxCv,frWLj,iSouk
Rt Hon Robert Menzies,Liberal,Kooyong,Vic,1934,sJeamI,GZTkASH,CnXMbw
Dan Minogue,ALP,West Sydney,NSW,1949,RgkzqHC,hdIvRP,dTWSWliS
Charles Morgan,ALP,Reid,NSW,"1940–46, 1949",JFacIXl,EnvzDCb,KyjjiEM
Jack Mullens,ALP/ALP (A-C),Gellibrand,Vic,1949,VxItBe,xOysqaJQ,FurREaz
Jock Nelson,ALP,Northern Territory,NT,1949,nXnNqjE,SUlmsZp,Ytpby
William O'Connor,ALP,Martin,NSW,1946,oZwCuXG,JjgrOfiz,ofPsVwy
