Year,Australian Open,French Open,Wimbledon,US Open
1915,tournament not created,tournament not created,no competition,Hazel Hotchkiss Wightman (4/7) Eleanora R. Sears (2/4)
1916,tournament not created,tournament not created,no competition,Molla Bjurstedt (1/2) Eleanora R. Sears (3/4)
1917,tournament not created,tournament not created,no competition,Molla Bjurstedt (2/2) Eleanora R. Sears (4/4)
1918,tournament not created,tournament not created,no competition,Marion Zinderstein Jessup (1/4) Eleanor Goss (1/4)
1919,tournament not created,tournament not created,Suzanne Lenglen (1/8) Elizabeth Ryan (2/17),Marion Zinderstein Jessup (2/4) Eleanor Goss (2/4)
1920,tournament not created,tournament not created,Suzanne Lenglen (2/8) Elizabeth Ryan (3/17),Marion Zinderstein Jessup (3/4) Eleanor Goss (3/4)
1921,tournament not created,tournament not created,Suzanne Lenglen (3/8) Elizabeth Ryan (4/17),Mary Browne (4/6) Louise Riddell Williams (3/3)
1922,Esna Boyd Robertson (1/5) Marjorie Mountain,tournament not created,Suzanne Lenglen (4/8) Elizabeth Ryan (5/17),Marion Zinderstein Jessup (4/4) Helen Wills Moody (1/9)
1923,Esna Boyd Robertson (2/5) Sylvia Lance Harper (1/3),tournament not created,Suzanne Lenglen (5/8) Elizabeth Ryan (6/17),Kathleen McKane Godfree (1/2) Phyllis Covell
1924,Daphne Akhurst Cozens (1/5) Sylvia Lance Harper (2/3),tournament not created,Hazel Hotchkiss Wightman (5/7) Helen Wills Moody (2/9),Hazel Hotchkiss Wightman (6/7) Helen Wills Moody (3/9)
1925,Sylvia Lance Harper (3/3) Daphne Akhurst Cozens (2/5),Suzanne Lenglen (6/8) Julie Vlasto Serpieri (1/2) †,Suzanne Lenglen (7/8) Elizabeth Ryan (7/17),Mary Browne (5/6) Helen Wills Moody (4/9)
1926,Meryl O'Hara Wood (1/2) Esna Boyd Robertson (3/5),Suzanne Lenglen (8/8) Julie Vlasto Serpieri (2/2),Mary Browne (6/6) Elizabeth Ryan (8/17),Elizabeth Ryan (9/17) Eleanor Goss (4/4)
1927,Meryl O'Hara Wood (2/2) Louise Bickerton (1/2),Irene Bowder Peacock Bobbie Heine,Helen Wills Moody (5/9) Elizabeth Ryan (10/17),Kathleen McKane Godfree (2/2) Ermyntrude Harvey
