Year,Australian Open,French Open,Wimbledon,US Open
1954,Mary Bevis Hawton (1/4) Beryl Penrose (1/2),Maureen Connolly Brinker (2/2) Nell Hall Hopman,Louise Brough Clapp (18/21) Margaret Osborne duPont (18/21),Shirley Fry Irvin (11/12) Doris Hart (14/14)
1955,Mary Bevis Hawton (2/4) Beryl Penrose (2/2),Beverly Baker Fleitz Darlene Hard (1/13),Angela Mortimer Barrett Anne Shilcock,Louise Brough Clapp (19/21) Margaret Osborne duPont (19/21)
1956,Mary Bevis Hawton (3/4) Thelma Coyne Long (11/12),Angela Buxton (1/2) Althea Gibson (1/5),Angela Buxton (2/2) Althea Gibson (2/5),Louise Brough Clapp (20/21) Margaret Osborne duPont (20/21)
1957,Althea Gibson (3/5) Shirley Fry (12/12),Shirley Bloomer Brasher Darlene Hard (2/13),Althea Gibson (4/5) Darlene Hard (3/13),Louise Brough Clapp (21/21) Margaret Osborne duPont (21/21)
1958,Mary Bevis Hawton (4/4) Thelma Coyne Long (12/12),Rosie Reyes Darmon Yola Ramírez Ochoa,Maria Bueno (1/11) Althea Gibson (5/5),Darlene Hard (4/13) Jeanne Arth (1/3)
1959,Renee Schuurman Haygarth (1/5) Sandra Reynolds Price (1/4),Renee Schuurman Haygarth (2/5) Sandra Reynolds Price (2/4),Jeanne Arth (2/3) Darlene Hard (5/13),Darlene Hard (6/13) Jeanne Arth (3/3)
1960,Maria Bueno (2/11) Christine Truman Janes,Maria Bueno (3/11) Darlene Hard (7/13),Maria Bueno (4/11) Darlene Hard (8/13),Maria Bueno (5/11) Darlene Hard (9/13)
1961,Mary Carter Reitano Margaret Court (1/19),Sandra Reynolds Price (3/4) Renee Schuurman Haygarth (3/5),Karen Hantze Susman (1/3) Billie Jean King (1/16),Darlene Hard (10/13) Lesley Turner Bowrey (1/7)
1962,Margaret Court (2/19) Robyn Ebbern (1/3),Sandra Reynolds Price (24/4) Renee Schuurman Haygarth (4/5),Karen Hantze Susman (2/3) Billie Jean King (2/16),Darlene Hard (11/13) Maria Bueno (6/11)
1963,Margaret Court (3/19) Robyn Ebbern (2/3),Ann Haydon-Jones (1/3) Renee Schuurman Haygarth (5/5),Maria Bueno (7/11) Darlene Hard (12/13),Robyn Ebbern (3/3) Margaret Court (4/19)
1964,Judy Tegart Dalton (1/8) Lesley Turner Bowrey (2/7),Margaret Court (5/19) Lesley Turner Bowrey (3/7),Margaret Court (6/19) Lesley Turner Bowrey (4/7),Billie Jean King (3/16) Karen Hantze Susman (3/3)
1965,Margaret Court (7/19) Lesley Turner Bowrey (5/7),Margaret Court (8/19) Lesley Turner Bowrey (6/7),Maria Bueno (8/11) Nancy Richey Gunter (1/4),Carole Caldwell Graebner (1/2) Nancy Richey Gunter (2/4)
1966,Carole Caldwell Graebner (2/2) Nancy Richey Gunter (3/4),Margaret Court (9/19) Judy Tegart Dalton (2/8),Maria Bueno (9/11) Billie Jean King (4/16),Maria Bueno (10/11) Nancy Richey Gunter (4/4)
