Year,Australian Open,French Open,Wimbledon,US Open
1967,Lesley Turner Bowrey (7/7) Judy Tegart Dalton (3/8),Françoise Dürr (1/7) Gail Sheriff Chanfreau Lovera (1/4),Rosemary Casals (1/9) Billie Jean King (5/16),Rosemary Casals (2/9) Billie Jean King (6/16)
1968,Karen Krantzcke Kerry Melville Reid (1/3),open tennis begins Françoise Dürr (2/7) Ann Haydon-Jones (2/3),Rosemary Casals (3/9) Billie Jean King (7/16),Maria Bueno (11/11) Margaret Court (10/19)
1969,Margaret Court (11/19) Judy Tegart Dalton (4/8),Françoise Dürr (3/7) Ann Haydon-Jones (3/3),Margaret Court (12/19) Judy Tegart Dalton (5/8),Françoise Dürr (4/7) Darlene Hard (13/13)
1970,Margaret Court (13/19) Judy Tegart Dalton (6/8),Gail Sheriff Chanfreau Lovera (2/4) Françoise Dürr (5/7),Rosemary Casals (4/9) Billie Jean King (8/16),Margaret Court (14/19) Judy Tegart Dalton (7/8)
1971,Margaret Court (15/19) Evonne Goolagong Cawley (1/6),Gail Sheriff Chanfreau Lovera (3/4) Françoise Dürr (6/7),Rosemary Casals (5/9) Billie Jean King (9/16),Rosemary Casals (6/9) Judy Tegart Dalton (8/8)
1972,Kerry Harris Helen Gourlay Cawley (1/5),Billie Jean King (10/16) Betty Stöve (1/6),Billie Jean King (11/16) Betty Stöve (2/6),Françoise Dürr (7/7) Betty Stöve (3/6)
1973,Margaret Court (16/19) Virginia Wade (1/4),Margaret Court (17/19) Virginia Wade (2/4),Rosemary Casals (7/9) Billie Jean King (12/16),Margaret Court (18/19) Virginia Wade (3/4)
1974,Evonne Goolagong Cawley (2/6) Peggy Michel (1/3),Chris Evert (1/3) Olga Morozova,Evonne Goolagong Cawley (3/6) Peggy Michel (2/3),Rosemary Casals (8/9) Billie Jean King (13/16)
1975,Evonne Goolagong Cawley (4/6) Peggy Michel (3/3),Chris Evert (2/3) Martina Navratilova (1/31),Ann Kiyomura Kazuko Sawamatsu,Margaret Court (19/19) Virginia Wade (4/4)
1976,Evonne Goolagong Cawley (5/6) Helen Gourlay Cawley (2/5),Fiorella Bonicelli Gail Sheriff Chanfreau Lovera (4/4),Chris Evert (3/3) Martina Navratilova (2/31),Delina Boshoff Ilana Kloss
1977,Dianne Fromholtz Balestrat Helen Gourlay Cawley (3/5) (Jan) Evonne Goolagong Cawley (6/6) (Dec) Helen Gourlay Cawley (5/5) Mona Gourlay Cawley Kerry Melville Reid (2/3),Regina Maršíková Pam Teeguarden,Helen Gourlay Cawley (4/5) JoAnne Russell,Martina Navratilova (3/31) Betty Stöve (4/6)
1978,Betsy Nagelsen (1/2) Renáta Tomanová ††,Mima Jaušovec Virginia Ruzici,Kerry Melville Reid (3/3) Wendy Turnbull (1/4),Billie Jean King (14/16) Martina Navratilova (4/31)
