Year,Australian Open,French Open,Wimbledon,US Open
1991,Patty Fendick Mary Joe Fernandez (1/2),Gigi Fernández (3/17) Jana Novotná (5/12),Larisa Savchenko Neiland (2/2) Natasha Zvereva (2/18),Pam Shriver (21/21) Natasha Zvereva (3/18)
1992,Arantxa Sánchez Vicario (1/6) Helena Suková (7/9),Gigi Fernández (4/17) Natasha Zvereva (4/18),Gigi Fernández (5/17) Natasha Zvereva (5/18),Gigi Fernández (6/17) Natasha Zvereva (6/18)
1993,Gigi Fernández (7/17) Natasha Zvereva (7/18),Gigi Fernández (17/8) Natasha Zvereva (8/18),Gigi Fernández (17/9) Natasha Zvereva (9/18),Arantxa Sánchez Vicario (2/6) Helena Suková (8/9)
1994,Gigi Fernández (10/17) Natasha Zvereva (10/18),Gigi Fernández (11/17) Natasha Zvereva (11/18),Gigi Fernández (12/17) Natasha Zvereva (12/18),Jana Novotná (6/12) Arantxa Sánchez Vicario (3/6)
1995,Jana Novotná (7/12) Arantxa Sánchez Vicario (4/6),Gigi Fernández (13/17) Natasha Zvereva (13/18),Jana Novotná (8/12) Arantxa Sánchez Vicario (5/6),Gigi Fernández (14/17) Natasha Zvereva (14/18)
1996,Chanda Rubin Arantxa Sánchez Vicario (6/6),Lindsay Davenport (1/3) Mary Joe Fernandez (2/2),Martina Hingis (1/9) Helena Suková (9/9),Gigi Fernández (15/17) Natasha Zvereva (15/18)
1997,Martina Hingis (2/9) Natasha Zvereva (16/18),Gigi Fernández (16/17) Natasha Zvereva (17/18),Gigi Fernández (17/17) Natasha Zvereva (18/18),Lindsay Davenport (2/3) Jana Novotná (9/12)
1998,Martina Hingis (3/9) Mirjana Lučić,Martina Hingis (4/9) Jana Novotná (10/12),Martina Hingis (5/9) Jana Novotná (11/12),Martina Hingis (6/9) Jana Novotná (12/12)
1999,Martina Hingis (7/9) Anna Kournikova (1/2),Serena Williams (1/13) Venus Williams (1/13),Lindsay Davenport (3/3) Corina Morariu,Serena Williams (2/13) Venus Williams (2/13)
2000,Lisa Raymond (1/6) Rennae Stubbs (1/4),Martina Hingis (8/9) Mary Pierce,Serena Williams (3/13) Venus Williams (3/13),Julie Halard-Decugis Ai Sugiyama (1/3)
2001,Serena Williams (4/13) Venus Williams (4/13),Virginia Ruano Pascual (1/10) Paola Suárez (1/8),Lisa Raymond (2/6) Rennae Stubbs (2/4),Lisa Raymond (3/6) Rennae Stubbs (3/4)
2002,Martina Hingis (9/9) Anna Kournikova (2/2),Virginia Ruano Pascual (2/10) Paola Suárez (2/8),Serena Williams (5/13) Venus Williams (5/13),Virginia Ruano Pascual (3/10) Paola Suárez (3/8)
