Year,Australian Open,French Open,Wimbledon,US Open
1941,no competition,no competition,no competition,Sarah Palfrey Cooke (11/11) Margaret Osborne duPont (1/21)
1942,no competition,no competition,no competition,Louise Brough Clapp (1/21) Margaret Osborne duPont (2/21)
1943,no competition,no competition,no competition,Louise Brough Clapp (2/21) Margaret Osborne duPont (3/21)
1944,no competition,no competition,no competition,Louise Brough Clapp (3/21) Margaret Osborne duPont (4/21)
1945,no competition,no competition,no competition,Louise Brough Clapp (4/21) Margaret Osborne duPont (5/21)
1946,Joyce Fitch Mary Bevis Hawton,Louise Brough Clapp (5/21) Margaret Osborne duPont (6/21),Louise Brough Clapp (6/21) Margaret Osborne duPont (7/21),Louise Brough Clapp (7/21) Margaret Osborne duPont (8/21)
1947,Thelma Coyne Long (6/12) Nancye Wynne Bolton (6/10),Louise Brough Clapp (8/21) Margaret Osborne duPont (9/21),Patricia Canning Todd (1/2) Doris Hart (1/14),Louise Brough Clapp (9/21) Margaret Osborne duPont (10/21)
1948,Thelma Coyne Long (7/12) Nancye Wynne Bolton (7/10),Doris Hart (2/14) Patricia Canning Todd (2/2),Louise Brough Clapp (10/21) Margaret Osborne duPont (11/21),Louise Brough Clapp (11/21) Margaret Osborne duPont (12/21)
1949,Thelma Coyne Long (8/12) Nancye Wynne Bolton (8/10),Louise Brough Clapp (12/21) Margaret Osborne duPont (13/21),Louise Brough Clapp (13/21) Margaret Osborne duPont (14/21),Louise Brough Clapp (14/21) Margaret Osborne duPont (15/21)
1950,Louise Brough Clapp (15/21) Doris Hart (3/14),Doris Hart (4/14) Shirley Fry Irvin (1/12),Louise Brough Clapp (16/21) Margaret Osborne duPont (16/21),Louise Brough Clapp (17/21) Margaret Osborne duPont (17/21)
1951,Thelma Coyne Long (9/12) Nancye Wynne Bolton (9/10),Doris Hart (5/14) Shirley Fry Irvin (2/12),Doris Hart (6/14) Shirley Fry Irvin (3/12),Shirley Fry Irvin (4/12) Doris Hart (7/14)
1952,Thelma Coyne Long (10/12) Nancye Wynne Bolton (10/10),Doris Hart (8/14) Shirley Fry Irvin (5/12),Doris Hart (9/14) Shirley Fry Irvin (6/12),Shirley Fry Irvin (7/12) Doris Hart (10/14)
1953,Maureen Connolly Brinker (1/2) Julie Sampson Haywood,Doris Hart (11/14) Shirley Fry Irvin (8/12),Doris Hart (12/14) Shirley Fry Irvin (9/12),Shirley Fry Irvin (10/12) Doris Hart (13/14)
