Year,Australian Open,French Open,Wimbledon,US Open
2003,Serena Williams (6/13) Venus Williams (6/13),Kim Clijsters (1/2) Ai Sugiyama (2/3),Kim Clijsters (2/2) Ai Sugiyama (3/3),Virginia Ruano Pascual (4/10) Paola Suárez (4/8)
2004,Virginia Ruano Pascual (5/10) Paola Suárez (5/8),Virginia Ruano Pascual (6/10) Paola Suárez (6/8),Cara Black (1/5) Rennae Stubbs (4/4),Virginia Ruano Pascual (7/10) Paola Suárez (7/8)
2005,Svetlana Kuznetsova (1/2) Alicia Molik (1/2),Virginia Ruano Pascual (8/10) Paola Suárez (8/8),Cara Black (2/5) Liezel Huber (1/5),Lisa Raymond (4/6) Samantha Stosur (1/2)
2006,Yan Zi (1/2) Zheng Jie (1/2),Lisa Raymond (5/6) Samantha Stosur (2/2),Yan Zi (2/2) Zheng Jie (2/2),Nathalie Dechy(1/2) Vera Zvonareva (1/2)
2007,Cara Black (3/5) Liezel Huber (2/5),Alicia Molik (2/2) Mara Santangelo,Cara Black (4/5) Liezel Huber (3/5),Nathalie Dechy (2/2) Dinara Safina
2008,Alona Bondarenko Kateryna Bondarenko,Anabel Medina Garrigues (1/2) Virginia Ruano Pascual (9/10),Serena Williams (7/13) Venus Williams (7/13),Cara Black (5/5) Liezel Huber (4/5)
2009,Serena Williams (8/13) Venus Williams (8/13),Anabel Medina Garrigues (2/2) Virginia Ruano Pascual (10/10),Serena Williams (9/13) Venus Williams (9/13),Serena Williams (10/13) Venus Williams (10/13)
2010,Serena Williams (11/13) Venus Williams (11/13),Serena Williams (12/13) Venus Williams (12/13),Vania King (1/2) Yaroslava Shvedova (1/2),Vania King (2/2) Yaroslava Shvedova (2/2)
2011,Gisela Dulko Flavia Pennetta,Andrea Hlaváčková (1/2) Lucie Hradecká (1/2),Květa Peschke Katarina Srebotnik,Liezel Huber (5/5) Lisa Raymond (6/6)
2012,Svetlana Kuznetsova (2/2) Vera Zvonareva (2/2),Sara Errani (1/4) Roberta Vinci (1/4),Serena Williams (13/13) Venus Williams (13/13),Sara Errani (2/4) Roberta Vinci (2/4)
2013,Sara Errani (3/4) Roberta Vinci (3/4),Ekaterina Makarova Elena Vesnina,Hsieh Su-wei Peng Shuai,Andrea Hlaváčková (2/2) Lucie Hradecká (2/2)
2014,Sara Errani (4/4) Roberta Vinci (4/4),,,
