Year,Australian Open,French Open,Wimbledon,US Open
1889,started in 1922,started in 1925,started in 1913,Bertha Townsend Margarette Ballard
1890,tournament not created,tournament not created,tournament not created,Ellen Roosevelt Grace Roosevelt
1891,tournament not created,tournament not created,tournament not created,Mabel Cahill (1/2) Emma Leavitt-Morgan
1892,tournament not created,tournament not created,tournament not created,Mabel Cahill (2/2) Adeline McKinlay
1893,tournament not created,tournament not created,tournament not created,Aline Terry Hattie Butler
1894,tournament not created,tournament not created,tournament not created,Helen Hellwig (1/2) Juliette Atkinson (1/7)
1895,tournament not created,tournament not created,tournament not created,Helen Hellwig (2/2) Juliette Atkinson (2/7)
1896,tournament not created,tournament not created,tournament not created,Elisabeth Moore (1/2) Juliette Atkinson (3/7)
1897,tournament not created,tournament not created,tournament not created,Juliette Atkinson (4/7) Kathleen Atkinson (1/2)
1898,tournament not created,tournament not created,tournament not created,Juliette Atkinson (5/7) Kathleen Atkinson (2/2)
1899,tournament not created,tournament not created,tournament not created,Jane Craven Myrtle McAteer (1/2)
1900,tournament not created,tournament not created,tournament not created,Edith Parker Hallie Champlin
1901,tournament not created,tournament not created,tournament not created,Juliette Atkinson (6/7) Myrtle McAteer (2/2)
