Year,Australian Open,French Open,Wimbledon,US Open
1979,Judy Chaloner Dianne Evers ††,Betty Stöve (5/6) Wendy Turnbull (2/4),Billie Jean King (15/16) Martina Navratilova (5/31),Betty Stöve (6/6) Wendy Turnbull (3/4)
1980,Martina Navratilova (7/31) Betsy Nagelsen (2/2) ††,Kathy Jordan (1/5) Anne Smith (1/5),Kathy Jordan (2/5) Anne Smith (2/5),Billie Jean King (16/16) Martina Navratilova (6/31)
1981,Kathy Jordan (4/5) Anne Smith (4/5) ††,Rosalyn Fairbank Nideffer (1/2) Tanya Harford,Martina Navratilova (8/31) Pam Shriver (1/21),Kathy Jordan (3/5) Anne Smith (3/5)
1982,Martina Navratilova (11/31) Pam Shriver (3/21) ††,Martina Navratilova (9/31) Anne Smith (5/5),Martina Navratilova (10/31) Pam Shriver (2/21),Rosemary Casals (9/9) Wendy Turnbull (4/4)
1983,Martina Navratilova (14/31) Pam Shriver (6/21) ††,Rosalyn Fairbank Nideffer (2/2) Candy Reynolds,Martina Navratilova (12/31) Pam Shriver (4/21),Martina Navratilova (13/31) Pam Shriver (5/21)
1984,Martina Navratilova (18/31) Pam Shriver (10/21) ††,Martina Navratilova (15/31) Pam Shriver (7/21),Martina Navratilova (16/31) Pam Shriver (8/21),Martina Navratilova (17/31) Pam Shriver (9/21)
1985,Martina Navratilova (20/31) Pam Shriver (12/21) ††,Martina Navratilova (19/31) Pam Shriver (11/21),Kathy Jordan (5/5) Elizabeth Sayers Smylie,Claudia Kohde-Kilsch (1/2) Helena Suková (1/9)
1986,no competition,Martina Navratilova (21/31) Andrea Temesvári,Martina Navratilova (22/31) Pam Shriver (13/21),Martina Navratilova (23/31) Pam Shriver (14/21)
1987,Martina Navratilova (24/31) Pam Shriver (15/21),Martina Navratilova (25/31) Pam Shriver (16/21),Claudia Kohde-Kilsch (2/2) Helena Suková (2/9),Martina Navratilova (26/31) Pam Shriver (17/21)
1988,Martina Navratilova (27/31) Pam Shriver (18/21),Martina Navratilova (28/31) Pam Shriver (19/21),Steffi Graf Gabriela Sabatini,Gigi Fernández (1/17) Robin White
1989,Martina Navratilova (29/31) Pam Shriver (20/21),Larisa Savchenko Neiland (1/2) Natasha Zvereva (1/18),Jana Novotná (1/12) Helena Suková (3/9),Hana Mandlíková Martina Navratilova (30/31)
1990,Jana Novotná (2/12) Helena Suková (4/9),Jana Novotná (3/12) Helena Suková (5/9),Jana Novotná (4/12) Helena Suková (6/9),Gigi Fernández (2/17) Martina Navratilova (31/31)
