Year,Australian Open,French Open,Wimbledon,US Open,Unused_1,Noise_Field_2
1928,Daphne Akhurst Cozens (3/5) Esna Boyd Robertson (4/5),Phoebe Holcroft Watson (1/4) Eileen Bennett Whittingstall (1/3),Peggy Saunders (1/2) Phoebe Holcroft Watson (2/4),Hazel Hotchkiss Wightman (7/7) Helen Wills Moody (6/9),,paLTQdiU
1929,Daphne Akhurst Cozens (4/5) Esna Boyd Robertson (5/5),Lili de Alvarez Kornelia Bouman,Peggy Saunders (2/2) Phoebe Holcroft Watson (3/4),Phoebe Holcroft Watson (4/4) Peggy Mitchell,,uucyZ
1930,Margaret Molesworth (1/3) Emily Hood Westacott (1/3),Helen Wills Moody (7/9) Elizabeth Ryan (11/17),Helen Wills Moody (8/9) Elizabeth Ryan (12/17),Betty Nuthall Shoemaker (1/4) Sarah Palfrey Cooke (1/11),,tphPj
1931,Daphne Akhurst Cozens (5/5) Louise Bickerton (2/2),Eileen Bennett Whittingstall (2/3) Betty Nuthall Shoemaker (2/4),Phyllis Mudford Dorothy S. Barron,Betty Nuthall Shoemaker (3/4) Eileen Bennett Whittingstall (3/3),,TTvHl
1932,Coral Buttsworth Marjorie Cox Crawford,Helen Wills Moody (9/9) Elizabeth Ryan (13/17),Doris Metaxa Josane Sigart,Helen Jacobs (1/3) Sarah Palfrey Cooke (2/11),,irqDnm
1933,Margaret Molesworth (2/3) Emily Hood Westacott (2/3),Simone Mathieu (1/9) Elizabeth Ryan (14/17),Simone Mathieu (2/9) Elizabeth Ryan (15/17),Betty Nuthall Shoemaker (4/4) Freda James (1/3),,SXCmNNz
1934,Margaret Molesworth (3/3) Emily Hood Westacott (3/3),Simone Mathieu (3/9) Elizabeth Ryan (16/17),Simone Mathieu (4/9) Elizabeth Ryan (17/17),Helen Jacobs (2/3) Sarah Palfrey Cooke (3/11),,HNGCeLH
1935,Evelyn Dearman Nancye W. Lyle,Margaret Scriven Vivian Kay Stammers Bullitt (1/3),Freda James (2/3) Kay Stammers Bullitt (2/3),Helen Jacobs (3/3) Sarah Palfrey Cooke (4/11),,YWhagzG
1936,Thelma Coyne Long (1/12) Nancye Wynne Bolton (1/10),Simone Mathieu (5/9) Billie Yorke (1/4),Freda James (3/3) Kay Stammers Bullitt (3/3),Marjorie Gladman Van Ryn Carolin Babcock,,gqAPdnp
1937,Thelma Coyne Long (2/12) Nancye Wynne Bolton (2/10),Simone Mathieu (6/9) Billy Yorke (2/4),Simone Mathieu (7/9) Billy Yorke (3/4),Sarah Palfrey Cooke (5/11) Alice Marble (1/6),,mRtQAprm
1938,Thelma Coyne Long (3/12) Nancye Wynne Bolton (3/10),Simone Mathieu (8/9) Billy Yorke (4/4),Sarah Palfrey Cooke (6/11) Alice Marble (2/6),Sarah Palfrey Cooke (7/11) Alice Marble (3/6),,iqGTFlw
1939,Thelma Coyne Long (4/12) Nancye Wynne Bolton (4/10),Simone Mathieu (9/9) Jadwiga Jędrzejowska,Sarah Palfrey Cooke (8/11) Alice Marble (4/6),Sarah Palfrey Cooke (9/11) Alice Marble (5/6),,tUhmyn
1940,Thelma Coyne Long (5/12) Nancye Wynne Bolton (5/10),no competition,no competition,Sarah Palfrey Cooke (10/11) Alice Marble (6/6),,pjRbFI
