Date,Opponents,H / A,ResultF – A,Scorers,Attendance,Extra_Data_1,Noise_Field_2,Extra_Data_3
17 March 1934,Fulham,H,1 – 0,Ball,"17,565",785,lzAGRq,924
24 March 1934,Southampton,A,0 – 1,,"4,840",872,JlTmCj,4
30 March 1934,West Ham United,H,0 – 1,,"29,114",292,VbqhV,386
31 March 1934,Blackpool,H,2 – 0,"Cape, Hine","20,038",162,ZyYOYtn,794
2 April 1934,West Ham United,A,1 – 2,Cape,"20,085",680,nujALXr,647
7 April 1934,Bradford City,A,1 – 1,Cape,"9,258",639,QiNbhxf,335
14 April 1934,Port Vale,H,2 – 0,"Brown, McMillen","14,777",280,KodvjuA,286
21 April 1934,Notts County,A,0 – 0,,"9,645",852,tRtHkr,98
28 April 1934,Swansea Town,H,1 – 1,Topping,"16,678",256,xpLeQy,854
5 May 1934,Millwall,A,2 – 0,"Cape, Manley","24,003",157,spRVNZpe,110
