Date,Opponents,H / A,ResultF – A,Scorers,Attendance
30 December 1933,Plymouth Argyle,H,0 – 3,,"12,206"
6 January 1934,Lincoln City,A,1 – 5,Brown,"6,075"
20 January 1934,Bolton Wanderers,A,1 – 3,Ball,"11,887"
27 January 1934,Brentford,H,1 – 3,Ball,"16,891"
3 February 1934,Burnley,A,4 – 1,"Cape (2), Green, Stewart","9,906"
10 February 1934,Oldham Athletic,H,2 – 3,"Cape, Green","24,480"
21 February 1934,Preston North End,A,2 – 3,Gallimore (2),"9,173"
24 February 1934,Bradford Park Avenue,H,0 – 4,,"13,389"
3 March 1934,Bury,H,2 – 1,"Ball, Gallimore","11,176"
10 March 1934,Hull City,A,1 – 4,Ball,"5,771"
