Date,Opponents,H / A,ResultF – A,Scorers,Attendance
28 October 1933,Hull City,H,4 – 1,"Heywood (2), Green, Hine","16,269"
4 November 1933,Fulham,A,2 – 0,"Stewart, own goal","17,049"
11 November 1933,Southampton,H,1 – 0,Manley,"18,149"
18 November 1933,Blackpool,A,1 – 3,Brown,"14,384"
25 November 1933,Bradford City,H,2 – 1,"Dewar, own goal","20,902"
2 December 1933,Port Vale,A,3 – 2,"Black, Brown, Dewar","10,316"
9 December 1933,Notts County,H,1 – 2,Dewar,"15,564"
16 December 1933,Swansea Town,A,1 – 2,Hine,"6,591"
23 December 1933,Millwall,H,1 – 1,Dewar,"12,043"
25 December 1933,Grimsby Town,H,1 – 3,Vose,"29,443"
26 December 1933,Grimsby Town,A,3 – 7,"Byrne (2), Frame","15,801"
