Date,Opponents,H / A,ResultF – A,Scorers,Attendance,Filler_1
26 August 1933,Plymouth Argyle,A,0 – 4,,"25,700",OFuGb
30 August 1933,Nottingham Forest,H,0 – 1,,"16,934",qGAjveL
2 September 1933,Lincoln City,H,1 – 1,Green,"16,987",WZpFIzEk
7 September 1933,Nottingham Forest,A,1 – 1,Stewart,"10,650",XEEqHQh
9 September 1933,Bolton Wanderers,H,1 – 5,Stewart,"21,779",nXoGmCOA
16 September 1933,Brentford,A,4 – 3,"Brown (2), Frame, Hine","17,180",UPPfdzo
23 September 1933,Burnley,H,5 – 2,"Dewar (4), Brown","18,411",jhqEhWM
30 September 1933,Oldham Athletic,A,0 – 2,,"22,736",aqdKOKr
7 October 1933,Preston North End,H,1 – 0,Hine,"22,303",OhBksp
14 October 1933,Bradford Park Avenue,A,1 – 6,Hine,"11,033",hhRTg
21 October 1933,Bury,A,1 – 2,Byrne,"15,008",ngpMRtxY
