Sheriff,Start of term,Sheriff,Start of term,Sheriff,Start of term,Noise_Field_1,Extra_Data_2,Extra_Data_3
Josiah Hobart,1683,Abraham Gardiner,1821,Henry Preston,1903,yFPhdZ,732,38
John Mulford,1701,Samuel Smith,1826,John Wells,1906,hUBejL,475,568
Hugh Gray,1702,Abraham Gardiner,1829,Charles Platt,1909,MVEZb,214,872
John Brush,1710,Richard Smith,1832,Melville Brush,1912,RRheVR,349,209
Daniel Youngs,1718,Silas Horton,1835,D. Henry Brown,1913,yZHDKtCz,472,677
Samuel Dayton,1723,Samuel Miller,1838,Charles O'Dell,1914,NGoAvtN,161,891
William Sell,1728,David Brush,1841,Amza Biggs,1917,AyRnYkl,279,562
Joseph Smith,1730,Henry Penny,1844,John Kelly,1920,ydCfCiss,70,872
David Corrie,1731,David Rose,1847,Amza Biggs,1923,SZQwH,406,455
Jacob Conklin,1734,John Clark,1850,Burton Howe,1926,VjCPesH,363,456
Thomas Higbe,1740,Samuel Phillips,1855,Ellis Taylor,1929,rhLaV,980,55
James Muirson,1774,George Carman,1856,Joseph Warta,1932,PUbgN,63,593
Thomas Wickes,1785,Stephen Wilson,1859,William McCollom,1935,VJuVPaoS,790,67
