Sheriff,Start of term,Sheriff,Start of term,Sheriff,Start of term
Silas Halsey,1787,Daniel Osborn,1862,Jacob Dreyer,1938
Thomas Wickes,1791,George Smith,1868,John Levy,1941
Phinaes Carll,1799,J. Henry Perkins,1871,William McCollom,1942
Josiah Reeve,1803,Egbert Lewis,1874,Charles Dominy,1957
Phinaes Smith,1807,George Cooper,1877,Frank Gross,1962
Josiah Reeve,1808,Robert Petty,1888,Philip Corso,1970
Benjamin Brewster,1810,Selah Brewster,1883,Donald Dilworth,1976
Josiah Reeve,1811,Henry Halsey,1886,John Finnerty,1977
Benjamin Brewster,1812,Robert Petty,1888,Eugene Dooley,1986
Josiah Reeve,1813,A. M. Darling,1891,Patrick Mahoney,1990
Nathaniel Conklin,1814,Benjamin Wood,1897,Alfred C. Tisch,2002
Josiah Reeve,1815,J. Sheridan Wells,1900,Vincent F. DeMarco,2006
Samuel Carll,1819,,,,
