Year,Seniors (Trood Award & Rodda Medal),Reserves (Rex Hartley Medal),Under 18's (Bruce Wilkinson Medal),Under 16's (Shaw/Carter Medal),Random_Column_1,Random_Column_2,Extra_Data_3
1965,Steve Szabo (Morwell) (26),Richard Evans (Maffra) (20),J.Barnett (Sale) (25),P.Lerstang (Traraglon Colts) (23),eons6Ox,lducAHs,432
1966,Terry Hunter (Traralgon) (15),Les Roberts (Sale) (21),G.Fletcher (St Pat's) (20),C.Luxford (Morwell) (18),YYokk5,6Qc8R,334
1967,George Brayshaw (Traralgon) (15),Les Roberts (Sale) (12),D.Scott (Heyfield) (23),R.Baldry (Warragul) (12),4IvEA,3pknvC,623
1968,Les Hawken (Trafalgar) (31),Peter Rodaughan (Moe) (28),J.Welsh (St Pat's) (30),E.Gray (Trar. Colts) (25),dfiv5,oNQMA,232
1969,John Gallus (Bairnsdale) (37),Barry Taylor (Yallourn) (14),P.Speed (Sale) (22),M.Mancuso (Traralgon) (11),xpEGK9,uQMSJG09,850
1970,John Gallus (Maffra) (30),Lyle Berry (Heyfield) (18),A.Gallagher (St Pat's) (27),G.McFarlane (Morwell) (13),LYVULk,58dCJ,139
1971,Terry Benton (Leongatha) (20),Graeme Anderson (Heyfield) (18),I.Stanley (Traralgon) (19),P.Shields (Moe) (15),jhr09dE7,kSncP,824
1972,Henro Kornacki (Morwell) (27),Barry Taylor (Yallourn) (13),T.Munro (Traralgon) (23),L.Ponton (Trar. Colts) (18),pS965v,HkbvarY,123
1973,Barry Rowlings (Moe) (35),Jack Vardy (Maffra) (21),A.Williams (Traralgon) (19),C.Carr (Morwell) (18),qmYlBK,IR2Myah,873
1974,Barry Rowlings (Moe) (28),Gus Eaton (Moe) (20),J.Buntine (Sale) (24),S.McNamara (Leongatha) (15),NDiW9YW,OHwJU,96
1975,John Gallus (Warragul) (28),Peter Pacunskis (Traralgon) (15),P.Boyce (Moe) (20),,vLCuGs,FPRTbJ,415
