Date,Time,Opponent,Site,TV,Result,Attendance,Record,Irrelevant_1,Filler_2
12/18/2012*,7:00 PM,Lipscomb,"Dunn Center • Clarksville, TN",,L 84–87,"2,498",4–7,LwOc0Rw,dWedEft
12/22/2012*,2:00 PM,at Illinois State,"Redbird Arena • Normal, IL",,L 57–83,"5,119",4–8,vvM2aXKH,RQuMl
12/28/2012*,3:30 PM,vs. Utah Valley,"McKenzie Arena • Chattanooga, TN(Dr. Pepper Classic)",,L 77–84,"2,568",4–9,BZ8Hu,ffvRM
12/29/2012*,3:30 PM,vs. High Point,"McKenzie Arena • Chattanooga, TN(Dr. Pepper Classic)",,L 74–76,"2,534",4–10,IU5X0xD,wdntjV
01/03/2013,7:00 PM,at Southeast Missouri State,"Show Me Center • Cape Girardeau, MO",,L 84–86,"1,845",4–11 (0–1),wtWtVSb,uIiSX
01/05/2013,6:20 PM,at Tennessee–Martin,"Skyhawk Arena • Martin, TN",,L 74–76 OT,"2,578",4–12 (0–2),t4WAq,rjaZr
01/09/2013,7:00 PM,Morehead State,"Dunn Center • Clarksville, TN",,W 84–81 OT,"2,004",5–12 (1–2),mOXx79Up,DbVku
01/12/2013,7:30 PM,Murray State,"Dunn Center • Clarksville, TN",ESPN3,L 68–71,"4,718",5–13 (1–3),FmAogMEo,aQpvXGi
01/17/2013,7:00 PM,SIU Edwardsville,"Dunn Center • Clarksville, TN",,L 53–66,"2,014",5–14 (1–4),I1HIM9i,JYAxD
01/19/2013,7:30 PM,Eastern Illinois,"Dunn Center • Clarksville, TN",,L 67–77,"2,517",5–15 (1–5),JFlnxfW,GnxUn
01/24/2013,7:00 PM,at Jacksonville State,"Pete Mathews Coliseum • Jacksonville, AL",,L 74–81,"1,883",5–16 (1–6),dTTfiL,drrhVmIw
