Date,Time,Opponent,Site,TV,Result,Attendance,Record
11/03/2012*,7:30 PM,Central Missouri,"Dunn Center • Clarksville, TN",,W 75–66,,
11/09/2012*,7:00 PM,Samford,"Dunn Center • Clarksville, TN",,W 75–64,"2,315",1–0
11/13/2012*,7:00 PM,at WKU,"E. A. Diddle Arena • Bowling Green, KY(Cancún Challenge)",,L 54–74,"4,160",1–1
11/17/2012*,1:00 PM,at DePaul,"Allstate Arena • Rosemont, IL(Cancún Challenge)",,L 67–98,"7,398",1–2
11/20/2012*,12:30 PM,vs. Western Carolina,"Moon Palace Resort • Cancún, Mexico(Cancún Challenge)",,W 72–71,902,2–2
11/21/2012*,3:00 PM,vs. Gardner–Webb,"Moon Palace Resort • Cancún, Mexico(Cancún Challenge)",,L 62–72,302,2–3
11/28/2012*,7:00 PM,Berea,"Dunn Center • Clarksville, TN",,W 108–53,"2,023",3–3
12/01/2012*,7:30 PM,Fairfield,"Dunn Center • Clarksville, TN",,L 55–74,"2,208",3–4
12/05/2012*,7:00 PM,Oakland City,"Dunn Center • Clarksville, TN",,W 88–63,"2,012",4–4
12/08/2012*,12:00 PM,at Memphis,"FedExForum • Memphis, TN",,L 65–83,"15,249",4–5
12/16/2012*,2:05 PM,at Arkasnas State,"Convocation Center • Jonesboro, AR",,L 57–69,"2,652",4–6
