No.,Date,Tournament,Winning score,Margin ofvictory,Runner(s)-up,Extra_Data_1
1,"Feb 26, 1978",Bent Tree Classic,+1 (71-72-73-73=289),1 stroke,Jo Ann Washam,257
2,"Mar 12, 1978",Sunstar Classic,−3 (72-72-70-71=285),1 stroke,"Debbie Austin,  Debbie Massey",155
3,"May 14, 1978",Greater Baltimore Classic,−7 (67-73-72=212),3 strokes,Donna Caponi,131
4,"May 21, 1978",Coca-Cola Classic,−3 (69-71-70=210),Playoff,JoAnne Carner,565
5,"May 29, 1978",Golden Lights Championship,−11 (67-72-73-65=277),1 stroke,Jane Blalock,482
6,"Jun 11, 1978",LPGA Championship,−13 (71-65-69-70=275),6 strokes,Amy Alcott,20
7,"Jun 18, 1978",Bankers Trust Classic,−5 (72-73-69=214),2 strokes,"Jane Blalock,  Debbie Massey",265
8,"Aug 6, 1978",Colgate European Open,−7 (73-71-72-73=289),3 strokes,"JoAnne Carner,  Mary Dwyer, Sally Little",847
9,"Nov 12, 1978",Colgate Far East Open,E (75-69-72=216),2 strokes,"Silvia Bertolaccini,  Kathy Whitworth",172
10,"Mar 11, 1979",Sunstar Classic,−8 (70-71-70-69=280),1 stroke,Hollis Stacy,304
11,"Mar 25, 1979",Sahara National Pro-Am,−16 (72-67-66-69=274),2 strokes,Donna Caponi,25
12,"May 6, 1979",Women's International,−6 (72-71-71-68=282),3 strokes,Donna White,348
