No.,Date,Tournament,Winning score,Margin ofvictory,Runner(s)-up,Irrelevant_1
13,"May 20, 1979",Coca-Cola Classic,−3 (73-70-73=216),Playoff,"Bonnie Bryant,  Hollis Stacy, Jo Ann Washam,  Mickey Wright",rcOuq
14,"Jun 3, 1979",Golden Lights Championship,−8 (67-70-73-70=280),4 strokes,Pat Bradley,GDGgd
15,"Jun 24, 1979",Lady Keystone Open,−4 (72-68-72=212),2 strokes,"Sally Little,  Kathy Whitworth",aknD2b
16,"Aug 5, 1979",Colgate European Open,−6 (68-69-70-75=282),4 strokes,Joyce Kazmierski,9T86YGRa
17,"Sep 30, 1979",Mary Kay Classic,−14 (71-66-67-70=274),2 strokes,Sandra Post,dC69N
18,"Mar 30, 1980",Women's Kemper Open,E (72-66-77-69=284),2 strokes,"Debbie Massey,  Jo Ann Washam",ckScmf
19,"Jun 29, 1980",The Sarah Coventry,−9 (73-67-72-71=283),1 stroke,Pat Bradley,FpNgEo
20,"Sep 1, 1980",Rail Charity Golf Classic,−13 (65-71-71-68=275),1 stroke,JoAnne Carner,a4deKr2
21,"Mar 8, 1981",Arizona Copper Classic,−14 (70-72-68-68=278),4 strokes,Pat Bradley,lQHro
22,"Apr 5, 1981",Colgate-Dinah Shore,−11 (71-73-69-64=277),2 strokes,Carolyn Hill,Gu3UDBJ
23,"Jun 28, 1981",The Sarah Coventry,−3 (74-69-71-71=285),2 strokes,Pat Bradley,H5uEmVXl
24,"Mar 21, 1982",J&B Scotch Pro-Am,−5 (70-67-69-73=279),5 strokes,Sandra Haynie,3EU10q
