No.,Date,Tournament,Winning score,Margin ofvictory,Runner(s)-up,Dummy_Col_1,Unused_2
37,"Feb 7, 1988",Mazda Classic,−5 (69-68-71-75=283),2 strokes,Marta Figueras-Dotti,oRFCFt,
38,"Apr 17, 1988",AI Star/Centinela Hospital Classic,−6 (71-72-67=210),Playoff,Marta Figueras-Dotti,UzFVCECG,
39,"May 15, 1988",Chrysler-Plymouth Classic,−12 (68-70-66=204),8 strokes,Jan Stephenson,NpFwhJ,
40,"May 21, 1989",Mazda LPGA Championship,−14 (71-69-68-66=274),3 strokes,Ayako Okamoto,teRZGK,
41,"Jul 30, 1989",Atlantic City Classic,−10 (67-70-69=206),1 stroke,"Christa Johnson,  Vicki Fergon",gZxOUj,
42,"Sep 24, 1989",Nippon Travel-MBS Classic,−11 (73-69-65-70=277),2 strokes,"Alice Ritzman,  Pamela Wright",hyfmT,
43,"Sep 23, 1990",MBS LPGA Classic,−7 (69-70-74-68=281),Playoff,Cathy Gerring,GEnAUZkq,
44,"May 5, 1991",Sara Lee Classic,−10 (65-70-71=206),2 strokes,Kris Monaghan,EzAWcWH,
45,"Sep 7, 1992",Rail Charity Golf Classic,−17 (67-68-64=199),Playoff,Laura Davies,Lpvab,
46,"Sep 13, 1992",Ping-Cellular One LPGA Golf Championship,−7 (70-70-69=209),Playoff,Jane Crafter,HsHONOeQ,
47,"Jul 11, 1993",Youngstown-Warren LPGA Classic,−13 (68-68-67=203),Playoff,Deb Richard,hhfIegxA,
48,"Apr 27, 1997",Chick-fil-A Charity Championship,−7 (71-66=137),2 strokes,"Tina Barrett,  Deb Richard, Karrie Webb",lFoAyLR,
