No.,Date,Tournament,Winning score,Margin ofvictory,Runner(s)-up
25,"Nov 7, 1982",Mazda Japan Classic,−9 (66-70-71=207),6 strokes,Amy Alcott
26,"Feb 6, 1983",Elizabeth Arden Classic,−3 (71-71-70-73=285),1 stroke,"Pat Bradley,  JoAnne Carner, Stephanie Farwig,  Betsy King"
27,"Apr 10, 1983",J&B Scotch Pro-Am,−6 (71-69-69-74=283),1 stroke,Laura Baugh
28,"Mar 4, 1984",Uniden LPGA Invitational,E (70-74-66-74=284),3 strokes,Pat Bradley
29,"Aug 19, 1984",Chevrolet World Championship of Women's Golf,−7 (69-74-65-73=281),1 stroke,JoAnne Carner
30,"May 19, 1985",Chrysler-Plymouth Classic,−9 (69-69-72=210),3 strokes,Pat Bradley
31,"Jun 7, 1985",LPGA Championship,−15 (65-71-72-65=273),8 strokes,Alice Miller
32,"Jul 7, 1985",Mazda Hall of Fame Championship,−7 (71-70-72-68=281),3 strokes,"JoAnne Carner,  Allison Finney"
33,"Aug 11, 1985",Henredon Classic,−20 (66-67-69-66=268),10 strokes,Val Skinner
34,"Sep 8, 1985",Portland Ping Championship,−1 (69-76-70=215),Playoff,Lori Garbacz
35,"Feb 8, 1987",Sarasota Classic,−7 (73-66-68-74=281),3 strokes,"Kathy Guadagnino,  Anne Marie Palli"
36,"Sep 13, 1987",Cellular One-Ping Golf Championship,−6 (72-67-71=210),1 stroke,"Kelly Leadbetter,  Muffin Spencer-Devlin, Jan Stephenson"
