Name,Lifetime,Nationality,Notable as,Notes,Irrelevant_1
Paula Vogel,b. 1951,American,Playwright,L,DdZYfFJS
Julia Volkova,b. 1985,Russian,Singer,B,1YrT8I
Jörg van Essen,b. 1947,German,Politician,G,6tXDwEm
Ole von Beust,b. 1955,German,Politician,G,xjm4frlg
Wilhelm von Gloeden,1856–1931,German,Photographer,G,ThcNO
Rosa von Praunheim,b. 1942,German,Film director,G,DlHRbj
Kurt von Ruffin,b. 1901–1996,German,Holocaust survivor,G,bFlVMQ
Hella von Sinnen,b. 1959,German,Comedian,L,b08dThNh
Daniel Vosovic,b. 1981,American,Fashion designer,G,FPzzFs
Delwin Vriend,b. 1966,Canadian,LGBT rights activist,G,Vl4nj11h
