Name,Lifetime,Nationality,Notable as,Notes
Börje Vestlund,b. 1960,Swedish,Politician,G
Théophile de Viau,1590–1626,French,"Poet, dramatist",G
Gore Vidal,1925–2012,American,"Writer, actor",B
Paco Vidarte,1970–2008,Spanish,"Writer, LGBT rights activist",G
Lena Videkull,b. 1962,Swedish,Footballer,L
Salka Viertel,1889–1978,Ukrainian,"Actor, screenwriter",L
Ludwig Viktor,1842–1919,Austrian,Nobility,G
Bruce Vilanch,b. 1948,American,"Comedy writer, actor",G
Tom Villard,1953–1994,American,Actor,G
José Villarrubia,b. 1961,American,Artist,G
