Name,Lifetime,Nationality,Notable as,Notes
John Vassall,1924–1996,English,"Civil servant, spy",G
Gianni Vattimo,b. 1936,Italian,"Writer, philosopher",G
Keith Vaughan,1912–1977,English,Painter,G
R. M. Vaughan,b. ?,Canadian,"Poet, writer",G
Ron Vawter,1948–1994,American,Actor,G
Carmen Vázquez,b. ?,Cuban-American,"Activist, writer",L
Jesús Vázquez Martínez,b. 1965,Spanish,Television presenter,G
Elihu Vedder,1836–1923,American,"Painter, illustrator",G
Jennifer Veiga,b. 1962,American,Politician,L
Werner Veigel,1928–1995,German,News presenter,G
Patricia Velásquez,b. 1971,Venezuelan,"Actor, model",B
