Name,Lifetime,Nationality,Notable as,Notes
Christine Vachon,b. 1962,American,Film producer,L
Urvashi Vaid,b. 1958,Indian-American,"LGBT rights activist, lawyer",L
Lupe Valdez,b. 1947,American,Sheriff,L
Angelina Valentine,b. 1986,American,Porn star,B
Max Valiquette,b. 1973,Canadian,Pop culture expert and television personality,G
Pierre Vallières,1938–1998,Québécois,"Journalist, writer",G
Louis Van Amstel,b. 1972,Dutch / American,"Dancer, Choreographer",G
André van Duin,b. 1947,Dutch,"Actor, pop musician, writer",G
Jörg van Essen,b. 1947,German,Prosecutor and politician,G
Tasya van Ree,b. ?,American,"Artist, photographer",L
Gus Van Sant,b. 1952,American,"Film director, photographer, musician",G
