Name,Lifetime,Nationality,Notable as,Notes
Xavier Villaurrutia,1903–1950,Mexican,"Poet, playwright",G
Alain-Philippe Malagnac d'Argens de Villèle,1950–2000,French,Aristocrat,G
Norah Vincent,b. ?,American,Journalist,L
Donald Vining,1917–1998,American,Writer,G
Luchino Visconti,1906–1976,Italian,Filmmaker,G
Pavel Vítek,b. 1962,Czech,"Pop musician, actor",G
Renée Vivien,1877–1909,English,Poet,L
Claude Vivier,1948–1983,Canadian,20th century classical composer,G
Taylor Vixen,b. 1983,American,Porn star,B
Bruce Voeller,1934–1994,American,HIV/AIDS researcher,G
