Name,Lifetime,Nationality,Notable as,Notes
Tim Van Zandt,b. 1963,American,"Politician, nurse, accountant",G
Carl Van Vechten,1880–1964,American,"Writer, photographer",G
"Arthur H. Vandenberg, Jr.",b. 1907,American,"government official, politician",G
Trent Vanegas,b. 1975,American,blogger,G
Ruth Vanita,b. 1955,Indian,"Academic, activist",L
Chavela Vargas,b. 1919,Mexican,Latin musician,L
Jose Antonio Vargas,b. 1981,Filipino-American,Journalist,G
Vjekoslav Kramer,b. 1976,"Bosnian, Croatian",Chef and Media Personality,G
António Variações,1944–1984,Portuguese,Pop musician,G
Mário Cesariny de Vasconcelos,1923–2006,Portuguese,Poet,G
Junior Vasquez,b. 1946,American,"DJ, musician",G
